"","chapter","word","n"
"1050",17,"servant",3
"1051",17,"step",3
"1052",17,"trees",3
"1053",18,"delay",3
"1054",18,"forced",3
"1055",18,"hotel",3
"1056",18,"jeejeeh",3
"1057",18,"morning",3
"1058",18,"passengers",3
"1059",18,"remain",3
"1060",18,"till",3
"1061",18,"violence",3
"1062",18,"waves",3
"1063",18,"weather",3
"1064",19,"accomplice",3
"1065",19,"carnatic",3
"1066",19,"days",3
"1067",19,"frenchman",3
"1068",19,"glass",3
"1069",19,"monsieur",3
"1070",19,"overcome",3
"1071",19,"passed",3
"1072",19,"passepartout’s",3
"1073",19,"phileas",3
"1074",19,"pipes",3
"1075",19,"replied",3
"1076",19,"resumed",3
"1077",19,"robber",3
"1078",19,"talk",3
"1079",20,"deck",3
"1080",20,"detective",3
"1081",20,"english",3
"1082",20,"evening",3
"1083",20,"half",3
"1084",20,"harbour",3
"1085",20,"hours",3
"1086",20,"jib",3
"1087",20,"leave",3
"1088",20,"miles",3
"1089",20,"nagasaki",3
"1090",20,"palanquin",3
"1091",20,"passepartout",3
"1092",20,"pounds",3
"1093",20,"sailor",3
"1094",20,"sea",3
"1095",20,"search",3
"1096",20,"servant",3
"1097",20,"start",3
"1098",20,"week",3
"1099",20,"wind",3
"1100",21,"air",3
"1101",21,"american",3
"1102",21,"breeze",3
"1103",21,"change",3
"1104",21,"currents",3
"1105",21,"descended",3
"1106",21,"east",3
"1107",21,"favourable",3
"1108",21,"gale",3
"1109",21,"mist",3
"1110",21,"noon",3
"1111",21,"north",3
"1112",21,"o’clock",3
"1113",21,"passed",3
"1114",21,"quietly",3
"1115",21,"reach",3
"1116",21,"rising",3
"1117",21,"set",3
"1118",21,"steamer",3
"1119",21,"twenty",3
"1120",22,"cabin",3
"1121",22,"carried",3
"1122",22,"chance",3
"1123",22,"china",3
"1124",22,"crowd",3
"1125",22,"curious",3
"1126",22,"drunk",3
"1127",22,"eat",3
"1128",22,"fell",3
"1129",22,"fix",3
"1130",22,"hair",3
"1131",22,"half",3
"1132",22,"hong",3
"1133",22,"house",3
"1134",22,"houses",3
"1135",22,"kong",3
"1136",22,"opium",3
"1137",22,"purser",3
"1138",22,"rice",3
"1139",22,"short",3
"1140",22,"steps",3
"1141",22,"trees",3
"1142",23,"air",3
"1143",23,"car",3
"1144",23,"clown",3
"1145",23,"clowns",3
"1146",23,"costume",3
"1147",23,"fogg",3
"1148",23,"jugglers",3
"1149",23,"nose",3
"1150",23,"performance",3
"1151",23,"placard",3
"1152",23,"position",3
"1153",23,"represent",3
"1154",23,"shoulders",3
"1155",23,"sing",3
"1156",23,"sort",3
"1157",23,"spinning",3
"1158",23,"stage",3
"1159",23,"steamer",3
"1160",23,"that’s",3
"1161",23,"tingou",3
"1162",23,"troupe",3
"1163",23,"true",3
"1164",24,"23rd",3
"1165",24,"agreed",3
"1166",24,"bombay",3
"1167",24,"changed",3
"1168",24,"coldly",3
"1169",24,"days",3
"1170",24,"december",3
"1171",24,"england",3
"1172",24,"fogg’s",3
"1173",24,"found",3
"1174",24,"half",3
"1175",24,"happened",3
"1176",24,"hong",3
"1177",24,"hour",3
"1178",24,"kong",3
"1179",24,"left",3
"1180",24,"listened",3
"1181",24,"passed",3
"1182",24,"passengers",3
"1183",24,"word",3
"1184",24,"york",3
"1185",25,"air",3
"1186",25,"american",3
"1187",25,"black",3
"1188",25,"city",3
"1189",25,"evidently",3
"1190",25,"found",3
"1191",25,"hand",3
"1192",25,"heard",3
"1193",25,"human",3
"1194",25,"indians",3
"1195",25,"international",3
"1196",25,"met",3
"1197",25,"montgomery",3
"1198",25,"political",3
"1199",25,"porter",3
"1200",25,"reached",3
"1201",25,"returned",3
"1202",25,"revolvers",3
"1203",25,"set",3
"1204",25,"world",3
"1205",26,"american",3
"1206",26,"beasts",3
"1207",26,"bed",3
"1208",26,"catcher",3
"1209",26,"cow",3
"1210",26,"crosses",3
